ID;species;long;lat;max.age;min.age;n.dates
3028;Homo sapiens;27.77;-25.97;64200;61600;1
3029;Homo sapiens;17.08;-27.42;65500;60900;1
3030;Homo sapiens;31.988;-27.024;76000;61000;3
3031;Homo sapiens;-5.94;35.71;70000;58000;1
3032;Homo sapiens;18.452;-32.386;95000;57000;5
3033;Homo sapiens;34.802;-2.588;69400;60600;1
3034;Homo sapiens;-6.95;33.916;116300;56100;4
3035;Homo sapiens;20.72;-34.108;70300;60700;1
3036;Homo sapiens;19.35;-34.566;72300;60500;1
3037;Homo sapiens;17.08;-27.42;69500;64300;1
3038;Homo sapiens;19.35;-34.566;74700;59900;1
3039;Homo sapiens;18.452;-32.386;75000;61000;1
3040;Homo sapiens;24.39;-34.108;113000;61900;6
3041;Homo sapiens;31.085;-29.522;72900;68100;1
3042;Homo sapiens;17.08;-27.42;73300;68100;1
3043;Homo sapiens;24.39;-34.108;84400;68700;2
3044;Homo sapiens;31.085;-29.522;80000;70000;3
3045;Homo sapiens;-6.95;33.916;77500;69100;1
3046;Homo sapiens;31.988;-27.024;79000;75000;1
3047;Homo sapiens;21.222;-34.414;93500;70900;3
3048;Homo sapiens;-5.43;35.9;86900;71900;1
3049;Homo sapiens;22.08;-34.2;102000;77000;3
3050;Homo sapiens;-3.092;34.784;88900;77700;1
3051;Homo sapiens;21.222;-34.414;99700;79600;2
3052;Homo sapiens;-1.873;34.557;89900;80900;1
3053;Homo sapiens;-1.873;34.557;91300;81500;1
3054;Homo sapiens;33.97;26.2408333;96300;77500;1
3055;Homo sapiens;27.77;-25.97;88600;85400;1
3056;Homo sapiens;33.97;26.2408333;97100;77900;1
3057;Homo sapiens;33.97;26.2408333;97300;79700;1
3058;Homo sapiens;22.089;-34.207;94000;86000;1
3059;Homo sapiens;22.089;-34.207;103000;86000;2
3060;Homo sapiens;40.31;10.25;109000;77000;2
3061;Homo sapiens;40.31;10.25;107000;77000;2
3062;Homo sapiens;-6.925;33.952;103000;81000;1
3063;Homo sapiens;22.089;-34.207;97000;91000;1
3064;Homo sapiens;-6.96;33.92;110900;92000;2
3065;Homo sapiens;18.452;-32.386;118000;90000;2
3066;Homo sapiens;18.452;-32.386;110000;90000;1
3067;Homo sapiens;18.452;-32.386;119000;95000;2
3068;Homo sapiens;-6.95;33.916;114900;101700;1
3069;Homo sapiens;-1.873;34.557;118400;98600;1
3070;Homo sapiens;24.39;-34.108;112000;105200;1
3071;Homo sapiens;-6.95;33.916;111400;106400;1
3072;Homo sapiens;18.452;-32.386;119000;99000;1
3073;Homo sapiens;22.089;-34.207;114000;106000;1
3074;Homo sapiens;31.988;-27.024;123000;107000;2
3075;Homo sapiens;-6.96;33.92;118700;111900;1
3076;Homo sapiens;27.9;-33.02;124000;112000;1
3077;Homo sapiens;33.97;26.2408333;126000;110000;1
3078;Homo sapiens;33.97;26.2408333;129500;107500;1
3079;Homo sapiens;-6.95;33.916;140200;114100;2
3080;Homo sapiens;33.97;26.2408333;136000;106400;1
3081;Homo sapiens;-6.96;33.92;126800;117800;1
3082;Homo sapiens;-1.873;34.557;131300;113700;1
3083;Homo sapiens;22.089;-34.207;129000;119000;1
3084;Homo sapiens;30.834;25.24;128800;120800;1
3085;Homo sapiens;35.3525;-2.996111;133000;125000;1
3086;Homo sapiens;-3.092;34.784;137800;122200;1
3087;Homo sapiens;33.93;13.15;135000;131000;1
3088;Homo sapiens;-1.873;34.557;145600;125000;1
3089;Homo sapiens;31.988;-27.024;173000;133000;3
3090;Homo sapiens;40.52;10.29;162000;147000;2
3091;Homo sapiens;22.089;-34.207;167000;147000;1
3092;Homo sapiens;22.089;-34.207;167000;151000;1
3093;Homo sapiens;22.089;-34.207;168000;156000;1
3094;Homo sapiens;-5.43;35.9;179000;157000;1
3095;Homo sapiens;-5.43;35.9;183000;163000;1
3096;Homo sapiens;30.32;20.7;202000;162000;1
3097;Homo sapiens;31.988;-27.024;238000;163000;2
3098;Homo sapiens;38.49;7.98;193000;173000;1
3099;Homo sapiens;35.55;5.24;200000;190000;1
3100;Homo sapiens;35.54;5.24;200000;190000;1
3101;Homo sapiens;36;0.62;241000;233000;1
3102;Homo sapiens;-5.43;35.9;271000;237000;1
3103;Homo sapiens;26.06;-28.76;294000;224000;1
3104;Homo sapiens;38.59;7.98;281000;269000;1
3105;Homo sapiens;36;0.62;296000;272000;1
3106;Homo sapiens;-8.87;31.88;349000;254000;2
3108;Homo sapiens;23.01;-27.65;336000;246000;1
3107;Homo sapiens;112.36;48.27;30730;30030;1
3108;Homo sapiens;40.93;28.00;84300;65100;2
3109;Homo sapiens;40.93;28.00;140000;120000;1
